,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days
0,42.5,0.0,4.0,1.0,0.0,1,1.0,18,0,0,1,16,0
1,13.0,1.0,4.0,1.0,0.0,1,0.0,16,0,0,0,0,0
2,22.5,1.0,1.0,2.0,1.0,1,1.0,14,36,4,0,0,0
3,27.5,0.0,2.0,1.0,0.0,2,1.0,14,12,0,1,16,0
4,42.5,0.0,1.0,7.0,1.0,1,1.0,0,0,0,0,0,0
5,27.5,1.0,2.0,5.0,0.0,3,1.0,16,0,0,0,0,0
6,13.0,1.0,3.0,1.0,0.0,3,0.0,13,0,0,0,0,0
7,70.0,1.0,4.0,1.0,0.0,2,1.0,14,104,3,1,50,0
8,24.5,0.0,1.0,1.0,1.0,3,1.0,15,3,NaN,1,14,100
9,42.5,1.0,4.0,1.0,0.0,1,1.0,0,312,2,1,16,0
10,42.5,0.0,2.0,1.0,0.0,1,1.0,16,361,5,1,16,0
11,14.0,0.0,4.0,1.0,0.0,1,0.0,0,0,0,0,0,0
12,14.0,1.0,2.0,2.0,0.0,1,1.0,12,0,0,1,11,121
13,42.5,0.0,2.0,7.0,1.0,2,1.0,18,72,4,1,17,12
14,42.5,1.0,1.0,1.0,1.0,1,1.0,21,3,0,0,0,0
15,14.0,1.0,1.0,1.0,1.0,3,0.0,21,0,0,0,0,0
16,70.0,0.0,4.0,1.0,0.0,2,1.0,0,0,0,0,0,0
17,42.5,0.0,4.0,7.0,0.0,2,1.0,0,260,2,1,18,0
18,12.0,1.0,4.0,1.0,0.0,1,0.0,14,0,0,0,0,0
19,42.5,0.0,2.0,1.0,0.0,1,1.0,0,0,0,0,0,0
20,18.0,0.0,2.0,1.0,1.0,2,1.0,16,2,0,1,12,0
21,42.5,0.0,4.0,1.0,0.0,2,1.0,17,1,0,1,15,0
22,13.0,0.0,2.0,1.0,0.0,2,0.0,0,0,0,0,0,0
23,42.5,1.0,4.0,1.0,0.0,1,1.0,16,156,2,1,14,0
24,14.0,1.0,2.0,7.0,0.0,1,0.0,16,0,0,0,0,0
25,16.0,0.0,4.0,2.0,0.0,2,0.0,15,0,0,0,0,0
26,20.0,1.0,2.0,7.0,0.0,3,1.0,16,120,0,0,0,0
27,14.0,1.0,3.0,1.0,0.0,1,0.0,0,0,0,0,0,0
28,18.0,0.0,2.0,1.0,0.0,1,1.0,0,1,1,0,0,0
29,18.0,0.0,1.0,6.0,1.0,1,1.0,NaN,120,5,1,16,0
30,42.5,0.0,2.0,2.0,1.0,1,1.0,16,0,0,1,17,36
31,16.0,0.0,2.0,2.0,0.0,1,0.0,16,0,0,0,0,0
32,18.0,1.0,3.0,7.0,0.0,1,1.0,0,156,12,0,0,0
33,27.5,0.0,2.0,2.0,0.0,2,1.0,18,0,0,1,19,0
34,57.5,0.0,1.0,2.0,1.0,2,1.0,14,0,0,1,Not sure,0
35,70.0,1.0,2.0,1.0,0.0,2,1.0,19,336,2,0,0,0
36,32.5,0.0,3.0,5.0,0.0,3,0.0,18,0,0,0,0,0
37,21.0,0.0,3.0,1.0,0.0,1,1.0,0,108,3,1,12,NaN
38,17.0,0.0,3.0,1.0,0.0,1,1.0,15,5,5,1,17,2
39,42.5,0.0,3.0,7.0,1.0,1,1.0,15,1,1,0,0,0
40,12.0,0.0,2.0,1.0,1.0,3,0.0,0,0,0,0,0,0
41,22.5,0.0,2.0,7.0,0.0,2,0.0,14,0,0,0,0,0
42,42.5,1.0,4.0,1.0,0.0,1,1.0,19,48,2,1,16,0
43,32.5,0.0,3.0,1.0,0.0,1,1.0,16,312,2,1,14,0
44,42.5,0.0,3.0,1.0,0.0,3,1.0,16,5,1,0,0,0
45,14.0,0.0,2.0,6.0,1.0,1,0.0,0,0,0,0,0,0
46,21.0,1.0,1.0,1.0,0.0,2,1.0,16,260,5,1,14,20
47,16.0,0.0,4.0,1.0,0.0,3,1.0,15,48,2,1,15,1
48,57.5,1.0,1.0,1.0,0.0,1,0.0,19,0,0,0,0,0
49,22.5,0.0,4.0,1.0,0.0,1,1.0,15,104,4,1,20,0
50,18.0,0.0,2.0,1.0,0.0,2,0.0,18,0,0,0,0,0
51,57.5,0.0,4.0,2.0,0.0,2,1.0,17,364,1,1,14,364
52,42.5,0.0,3.0,2.0,0.0,1,1.0,0,52,0,0,0,0
53,17.0,1.0,2.0,7.0,1.0,2,0.0,15,0,0,0,0,0
54,42.5,1.0,3.0,1.0,0.0,2,1.0,13,0,0,0,0,0
55,17.0,0.0,4.0,2.0,0.0,1,1.0,15,4,0,1,16,6
56,22.5,1.0,1.0,1.0,1.0,1,1.0,18,5,1,0,0,0
57,13.0,0.0,4.0,1.0,0.0,3,0.0,0,0,0,0,0,0
58,27.5,1.0,1.0,2.0,1.0,1,1.0,15,3,1,1,19,3
59,17.0,1.0,2.0,2.0,1.0,3,0.0,0,0,0,0,0,0
60,22.5,1.0,1.0,7.0,0.0,1,1.0,17,240,40,1,14,0
61,15.0,1.0,4.0,1.0,0.0,1,1.0,14,1,0,1,14,0
62,20.0,1.0,1.0,5.0,0.0,2,1.0,0,48,1,0,0,0
63,18.0,0.0,2.0,1.0,1.0,2,1.0,18,12,NaN,1,17,12
64,17.0,0.0,2.0,7.0,1.0,2,1.0,18,20,0,0,0,0
65,32.5,0.0,2.0,1.0,0.0,2,1.0,20,5,0,0,0,0
66,15.0,0.0,4.0,1.0,0.0,3,0.0,12,0,0,1,14,8
67,24.5,1.0,3.0,1.0,0.0,1,1.0,24,5,0,0,0,0
68,70.0,1.0,2.0,1.0,0.0,1,1.0,23,348,5,1,17,24
69,13.0,1.0,2.0,1.0,0.0,1,1.0,18,0,0,0,0,0
70,15.0,1.0,2.0,1.0,1.0,1,0.0,NaN,0,0,0,0,0
71,42.5,0.0,2.0,1.0,0.0,2,1.0,0,72,2,1,15,0
72,22.5,0.0,1.0,1.0,1.0,2,1.0,18,3,NaN,1,14,0
73,42.5,1.0,4.0,1.0,0.0,1,1.0,18,0,0,0,0,0
74,57.5,1.0,3.0,2.0,1.0,1,1.0,0,260,4,1,17,355
75,70.0,1.0,4.0,1.0,0.0,2,1.0,0,320,1,0,0,0
76,70.0,0.0,1.0,5.0,0.0,1,0.0,25,0,0,0,0,0
77,24.5,0.0,1.0,7.0,0.0,2,1.0,10,0,0,0,0,0
78,57.5,0.0,4.0,1.0,0.0,3,1.0,19,0,0,1,18,0
79,19.0,1.0,4.0,1.0,0.0,3,1.0,0,48,3,1,15,0
80,19.0,1.0,3.0,1.0,0.0,3,1.0,0,4,0,0,0,0
81,32.5,0.0,2.0,1.0,0.0,2,1.0,0,36,1,1,26,0
82,21.0,0.0,1.0,7.0,0.0,1,1.0,18,345,28,0,0,0
83,13.0,1.0,1.0,1.0,1.0,1,0.0,16,0,0,0,0,0
84,17.0,1.0,1.0,7.0,1.0,2,0.0,0,0,0,0,0,0
85,20.0,0.0,1.0,1.0,1.0,1,1.0,12,2,0,0,0,0
86,42.5,0.0,3.0,1.0,0.0,1,1.0,18,24,5,1,16,0
87,19.0,1.0,1.0,2.0,1.0,3,0.0,13,0,0,0,0,0
88,12.0,0.0,4.0,1.0,0.0,2,0.0,0,0,0,0,0,0
89,42.5,0.0,4.0,1.0,0.0,2,1.0,22,24,1,0,0,0
90,32.5,1.0,2.0,1.0,0.0,3,1.0,0,260,3,1,14,0
91,22.5,1.0,1.0,5.0,0.0,2,0.0,17,0,0,0,0,0
92,17.0,0.0,2.0,1.0,0.0,2,1.0,0,15,3,0,0,0
93,20.0,0.0,1.0,2.0,1.0,1,0.0,24,0,0,0,0,0
94,17.0,0.0,2.0,7.0,0.0,2,1.0,16,7,4,1,15,0
95,14.0,0.0,4.0,1.0,0.0,3,0.0,0,0,0,0,0,0
96,24.5,1.0,3.0,1.0,0.0,2,1.0,14,7,7,0,0,0
97,13.0,1.0,4.0,1.0,0.0,1,0.0,16,0,0,0,0,0
98,12.0,0.0,3.0,1.0,0.0,1,0.0,0,0,0,0,0,0
99,14.0,1.0,2.0,2.0,1.0,1,1.0,18,0,0,0,0,0
100,22.5,1.0,4.0,1.0,0.0,1,1.0,0,52,5,1,16,0
101,24.5,1.0,4.0,1.0,0.0,2,1.0,21,12,2,1,20,1
102,19.0,0.0,2.0,1.0,0.0,1,0.0,16,0,0,0,0,0
103,27.5,0.0,2.0,7.0,0.0,2,1.0,16,12,0,0,0,0
104,24.5,1.0,3.0,1.0,0.0,2,0.0,0,0,0,1,20,12
105,27.5,0.0,2.0,7.0,0.0,1,1.0,0,104,2,0,0,0
106,15.0,1.0,3.0,1.0,0.0,2,0.0,0,0,0,0,0,0
107,21.0,0.0,2.0,5.0,0.0,2,1.0,0,6,0,0,0,0
108,13.0,1.0,2.0,2.0,1.0,2,0.0,21,0,0,0,0,0
109,13.0,1.0,2.0,2.0,1.0,1,0.0,0,0,0,0,0,0
110,27.5,1.0,4.0,1.0,0.0,2,1.0,16,104,7,1,13,2
111,18.0,0.0,3.0,1.0,0.0,3,1.0,0,1,3,0,0,0
112,12.0,0.0,4.0,1.0,0.0,1,0.0,0,0,0,0,0,0
113,22.5,1.0,2.0,7.0,0.0,1,1.0,NaN,288,3,0,0,0
114,12.0,0.0,1.0,7.0,1.0,1,0.0,25,0,0,0,0,0
115,19.0,1.0,4.0,7.0,0.0,1,1.0,13,10,NaN,0,0,0
116,27.5,0.0,1.0,7.0,1.0,2,1.0,17,156,NaN,1,16,0
117,22.5,0.0,2.0,7.0,0.0,2,1.0,0,36,1,0,0,0
118,12.0,1.0,2.0,2.0,1.0,3,0.0,0,0,0,0,0,0
119,16.0,0.0,1.0,2.0,0.0,1,0.0,18,0,0,0,0,0
120,14.0,0.0,3.0,2.0,0.0,2,1.0,27,0,0,0,0,0
121,18.0,1.0,4.0,1.0,0.0,3,1.0,13,NaN,NaN,0,0,0
122,22.5,0.0,1.0,2.0,0.0,3,1.0,0,6,5,1,16,1
123,42.5,0.0,1.0,2.0,1.0,1,1.0,10,12,NaN,0,0,0
124,22.5,0.0,2.0,1.0,0.0,2,1.0,0,0,0,0,0,0
125,42.5,1.0,4.0,2.0,0.0,1,1.0,18,60,3,1,11,1
126,16.0,1.0,4.0,1.0,0.0,3,0.0,14,0,0,0,0,0
127,16.0,0.0,2.0,7.0,0.0,1,1.0,24,NaN,NaN,1,15,104
128,24.5,0.0,2.0,1.0,0.0,2,1.0,18,208,2,1,14,52
129,22.5,1.0,3.0,2.0,0.0,3,1.0,43,52,2,0,0,0
130,15.0,1.0,1.0,7.0,0.0,2,0.0,19,0,0,0,0,0
131,14.0,1.0,4.0,3.0,0.0,2,0.0,0,0,0,0,0,0
132,20.0,1.0,1.0,2.0,1.0,2,0.0,0,0,0,0,0,0
133,24.5,0.0,1.0,2.0,1.0,1,1.0,0,52,NaN,0,0,0
134,57.5,1.0,2.0,1.0,0.0,3,1.0,11,365,4,1,16,3
135,42.5,0.0,4.0,5.0,0.0,1,0.0,0,0,0,0,0,0
136,70.0,0.0,2.0,7.0,0.0,3,1.0,10,1,0,0,0,0
137,17.0,1.0,2.0,7.0,1.0,2,1.0,14,156,7,1,14,360
138,21.0,1.0,1.0,1.0,0.0,2,1.0,15,156,4,1,18,3
